"","theta","phys","Ppu","Ps","Pu","Pps","PpAll","PsiU","PsiS"
"347",14.6,"Plain",6.4305187643815e-21,3.02546357429678e-12,8.57402501917534e-21,7.56365893574194e-13,7.56365900004713e-13,8.5018623451182e-09,0.999999991498138
"348",14.7,"Plain",2.97858142021577e-21,1.8736179920525e-12,3.97144189362103e-21,4.68404498013125e-13,4.68404500991706e-13,6.35899401886515e-09,0.999999993641006
"349",14.8,"Plain",1.37070347269912e-21,1.1550761869712e-12,1.82760463026549e-21,2.88769046742801e-13,2.88769048113505e-13,4.74671188499519e-09,0.999999995253288
"350",14.9,"Plain",6.26683298507454e-22,7.0889297976674e-13,8.35577731343271e-22,1.77223244941685e-13,1.77223245568368e-13,3.53612358524206e-09,0.999999996463876
"351",15,"Plain",2.84657937841688e-22,4.3310299116366e-13,3.79543917122251e-22,1.08275747790915e-13,1.08275748075573e-13,2.62900920013045e-09,0.999999997370991
"352",15.1,"Plain",1.2846033425254e-22,2.63416001659205e-13,1.71280445670053e-22,6.58540004148012e-14,6.58540005432615e-14,1.95068383382647e-09,0.999999998049316
"353",15.2,"Plain",5.75950775272059e-23,1.5949004709979e-13,7.67934367029412e-23,3.98725117749474e-14,3.98725118325425e-14,1.44448079341214e-09,0.999999998555519
"354",15.3,"Plain",2.56550140801207e-23,9.61314475207145e-14,3.4206685440161e-23,2.40328618801786e-14,2.40328619058336e-14,1.067497253579e-09,0.999999998932503
"355",15.4,"Plain",1.13534987929839e-23,5.76816719191475e-14,1.51379983906452e-23,1.44204179797869e-14,1.44204179911404e-14,7.87321061009415e-10,0.999999999212679
"356",15.5,"Plain",4.99180658419584e-24,3.44548735887821e-14,6.65574211226111e-24,8.61371839719551e-15,8.61371840218732e-15,5.79518200052633e-10,0.999999999420482
"357",15.6,"Plain",2.18050130838811e-24,2.04882065768616e-14,2.90733507785081e-24,5.12205164421541e-15,5.12205164639591e-15,4.25708575180495e-10,0.999999999574291
"358",15.7,"Plain",9.46292775143779e-25,1.2128237432265e-14,1.26172370019171e-24,3.03205935806626e-15,3.03205935901255e-15,3.12095728710258e-10,0.999999999687904
"359",15.8,"Plain",4.08004795531576e-25,7.14713358154458e-15,5.44006394042101e-25,1.78678339538615e-15,1.78678339579415e-15,2.28345974387251e-10,0.999999999771654
"360",15.9,"Plain",1.74773499262347e-25,4.19282340158499e-15,2.33031332349796e-25,1.04820585039625e-15,1.04820585057102e-15,1.66735855526028e-10,0.999999999833264
"361",16,"Plain",7.43800500507585e-26,2.44862176062218e-15,9.9173400067678e-26,6.12155440155545e-16,6.12155440229925e-16,1.21505168724502e-10,0.999999999878495
"362",16.1,"Plain",3.14490782806423e-26,1.42356499857842e-15,4.19321043741898e-26,3.55891249644606e-16,3.55891249676055e-16,8.83671017741189e-11,0.999999999911633
"363",16.2,"Plain",1.32108252377036e-26,8.23897833279036e-16,1.76144336502714e-26,2.05974458319759e-16,2.0597445833297e-16,6.41381720074606e-11,0.999999999935862
"364",16.3,"Plain",5.51343861956259e-27,4.74689781302487e-16,7.35125149275012e-27,1.18672445325622e-16,1.18672445331135e-16,4.64592989904125e-11,0.999999999953541
"365",16.4,"Plain",2.28604992747495e-27,2.72261897737978e-16,3.0480665699666e-27,6.80654744344946e-17,6.80654744367807e-17,3.35860426507162e-11,0.999999999966414
"366",16.5,"Plain",9.41714915281385e-28,1.55454863804467e-16,1.25561988704185e-27,3.88637159511166e-17,3.88637159520584e-17,2.4231211355164e-11,0.999999999975769
"367",16.6,"Plain",3.85410691003159e-28,8.83613260009815e-17,5.13880921337546e-28,2.20903315002454e-17,2.20903315006308e-17,1.7447030661e-11,0.999999999982553
"368",16.7,"Plain",1.56710694973287e-28,4.99989169610171e-17,2.08947593297716e-28,1.24997292402543e-17,1.2499729240411e-17,1.25371271616548e-11,0.999999999987463
"369",16.8,"Plain",6.33058852726414e-29,2.81643305184078e-17,8.44078470301885e-29,7.04108262960194e-18,7.04108262966525e-18,8.99093060006471e-12,0.999999999991009
"370",16.9,"Plain",2.54073930866882e-29,1.57935125599068e-17,3.38765241155842e-29,3.94837813997671e-18,3.94837814000212e-18,6.43489356535505e-12,0.999999999993565
"371",17,"Plain",1.0130868957392e-29,8.81654626054431e-18,1.35078252765227e-29,2.20413656513608e-18,2.20413656514621e-18,4.59629821381779e-12,0.999999999995404
"372",17.1,"Plain",4.0133206479805e-30,4.899578426665e-18,5.35109419730734e-30,1.22489460666625e-18,1.22489460667026e-18,3.27646201242592e-12,0.999999999996724
"373",17.2,"Plain",1.57954350400085e-30,2.71056233669544e-18,2.10605800533447e-30,6.77640584173861e-19,6.7764058417544e-19,2.3309458448727e-12,0.999999999997669
"374",17.3,"Plain",6.17632150345902e-31,1.49279629294055e-18,8.23509533794536e-31,3.73199073235138e-19,3.73199073235755e-19,1.65496699922332e-12,0.999999999998345
"375",17.4,"Plain",2.39937852983133e-31,8.18431165909636e-19,3.19917137310844e-31,2.04607791477409e-19,2.04607791477649e-19,1.17267212186953e-12,0.999999999998827
"376",17.5,"Plain",9.26058052791228e-32,4.46687945600116e-19,1.2347440703883e-31,1.11671986400029e-19,1.11671986400122e-19,8.29266213169304e-13,0.999999999999171
"377",17.6,"Plain",3.55098001022861e-32,2.42698319411969e-19,4.73464001363815e-32,6.06745798529923e-20,6.06745798530278e-20,5.85250036972676e-13,0.999999999999415
"378",17.7,"Plain",1.35278510583677e-32,1.31271294519192e-19,1.80371347444903e-32,3.28178236297979e-20,3.28178236298114e-20,4.1221048692818e-13,0.999999999999588
"379",17.8,"Plain",5.12011799072089e-33,7.06827161020227e-20,6.82682398762785e-33,1.76706790255057e-20,1.76706790255108e-20,2.89752192506529e-13,0.99999999999971
"380",17.9,"Plain",1.92531456383972e-33,3.78876050841323e-20,2.56708608511963e-33,9.47190127103307e-21,9.471901271035e-21,2.03265902879216e-13,0.999999999999797
"381",18,"Plain",7.19273389809314e-34,2.02172248328728e-20,9.59031186412418e-34,5.05430620821819e-21,5.05430620821891e-21,1.42309025250526e-13,0.999999999999858
"382",18.1,"Plain",2.66966557627995e-34,1.07395575700039e-20,3.55955410170661e-34,2.68488939250097e-21,2.68488939250124e-21,9.94329816243528e-14,0.999999999999901
