"","EMT_ID","ERE88","DATE","Value","theta"
"129","SF-LA",66.6,1999-03-15,64.0138709677419,2.58612903225807
"130","SF-XZ",67.29,1999-03-15,64.9012903225806,2.38870967741936
"131","SF-N2",63.05,1999-04-15,58.8873333333333,4.16266666666667
"132","SF-LB",63.42,1999-04-15,60.9353333333333,2.48466666666667
"133","SF-N1",63.71,1999-04-15,61.109,2.60099999999999
"134","SF-LA",66.6,1999-04-15,63.342,3.25800000000001
"135","SF-XZ",67.29,1999-04-15,64.0616666666667,3.22833333333334
"136","SF-N2",63.05,1999-05-15,58.4716129032258,4.57838709677419
"137","SF-LB",63.42,1999-05-15,60.9951612903226,2.42483870967742
"138","SF-N1",63.71,1999-05-15,60.7864516129032,2.92354838709677
"139","SF-LA",66.6,1999-05-15,63.0222580645161,3.57774193548388
"140","SF-XZ",67.29,1999-05-15,63.9929032258065,3.29709677419356
"141","SF-N2",63.05,1999-06-15,58.5036666666667,4.54633333333333
"142","SF-LB",63.42,1999-06-15,61.638,1.782
"143","SF-N1",63.71,1999-06-15,60.7623333333333,2.94766666666666
"144","SF-LA",66.6,1999-06-15,63.365,3.23500000000001
"145","SF-XZ",67.29,1999-06-15,64.53,2.76000000000001
"146","SF-N2",63.05,1999-07-15,58.9154838709677,4.13451612903226
"147","SF-LB",63.42,1999-07-15,62.2296774193548,1.19032258064517
"148","SF-N1",63.71,1999-07-15,61.53,2.17999999999999
"149","SF-LA",66.6,1999-07-15,64.1645161290323,2.43548387096774
"150","SF-XZ",67.29,1999-07-15,65.3277419354839,1.96225806451613
"151","SF-N2",63.05,1999-08-15,58.7661290322581,4.28387096774193
"152","SF-LB",63.42,1999-08-15,62.1309677419355,1.28903225806452
"153","SF-N1",63.71,1999-08-15,61.3851612903226,2.32483870967742
"154","SF-LA",66.6,1999-08-15,64.3025806451613,2.29741935483872
"155","SF-XZ",67.29,1999-08-15,65.4567741935484,1.83322580645162
"156","SF-N2",63.05,1999-09-15,59.771,3.279
"157","SF-LB",63.42,1999-09-15,62.931,0.489000000000004
"158","SF-N1",63.71,1999-09-15,61.605,2.105
"159","SF-LA",66.6,1999-09-15,64.469,2.13100000000001
"160","SF-XZ",67.29,1999-09-15,66.2273333333333,1.06266666666667
"161","SF-N2",63.05,1999-10-15,61.8238709677419,1.22612903225806
"162","SF-LB",63.42,1999-10-15,64.1538709677419,-0.733870967741936
"163","SF-N1",63.71,1999-10-15,63.5206451612903,0.189354838709669
"164","SF-LA",66.6,1999-10-15,66.2187096774194,0.381290322580654
"165","SF-XZ",67.29,1999-10-15,67.3709677419355,-0.0809677419354813
"166","SF-N2",63.05,1999-11-15,61.9546666666667,1.09533333333333
"167","SF-LB",63.42,1999-11-15,63.976,-0.555999999999997
"168","SF-N1",63.71,1999-11-15,63.818,-0.108000000000004
