OBJECTID,CFCA_ID,Wetland_Ty,Stressed,Class,SUM_ACRES_COMB,Shape_Length,Shape_Area,Latitude,Longiitude
29,SF-EV,Plain,YES,Class 2,66.717449293900657,5562.070244152106200,269995.938161109810000,28.3213367,-81.5624084
30,SF-EW,Ridge,NO,Class 2,23.489994709643092,3745.191365895196700,95060.635951675358000,28.2690582,-81.5979691
31,SF-EY,Plain,NO,Class 2,4.277402204266248,760.621164004124690,17310.032581820484000,27.7487431,-81.2597733
32,SF-EZ,Ridge,NO,Class 2,14.839169852926364,1821.405696368451300,60051.989822663709000,27.7428646,-81.3019867
33,SF-FA,Plain,NO,Class 2,16.294173520137473,1492.838236291149500,65940.180757619033000,27.6630573,-81.0185776
34,SF-FD,Plain,NO,Class 2,7.887403170162479,1160.531975109711500,31919.188175422034000,27.7022934,-80.9230957
35,SF-VC,Plain,NO,Class 2,5.330118700142451,890.647228131113820,21570.225093960318000,28.0758667,-81.1700516
36,SF-VD,Plain,YES,Class 2,22.763768480749867,2695.788818929228500,92121.702674401560000,28.0669041,-81.1930161
37,SF-WC,Ridge,YES,Class 2,12.252634641693493,2198.036502288023700,49584.653190840836000,28.3029022,-81.5883331
38,SF-WD,Ridge,YES,Class 2,4.913387881835954,751.963032286223440,19883.775305404186000,28.2973900,-81.5949020
39,SF-WE,Ridge,YES,Class 2,2.472301977133440,792.531177460065240,10005.051134283593000,28.3481960,-81.6098404
40,SF-WF,Ridge,YES,Class 2,11.725941667166730,1455.704996519986500,47453.202344461446000,28.3488274,-81.6056900
41,SF-WG,Ridge,NO,Class 2,2.325976073842064,754.858492469880840,9412.891212776492500,28.4189072,-81.6251450
42,SF-WH,Ridge,NO,Class 2,19.840157972892364,3331.088629123963500,80290.270714188227000,28.4505596,-81.6148376
43,SF-WI,Ridge,YES,Class 2,34.118059319019679,3818.652887544245000,138070.887475493420000,28.4660149,-81.6364517
44,SF-WJ,Ridge,NO,Class 2,6.433043974859060,861.407704176186710,26033.605325154618000,28.4423733,-81.5556335
45,SF-WK,Ridge,NO,Class 2,3.824779589403585,614.121029782334860,15478.333845714351000,28.4436016,-81.5533600
46,SF-WQ,Plain,NO,Class 2,4.622858507436497,502.659328313131030,18708.044640649412000,28.3585281,-81.2441788
47,SF-WS,Plain,YES,Class 2,6.378559964823954,1005.628251381808700,25813.116359311338000,28.3537445,-81.2404480
48,SF-WU,Plain,NO,Class 2,2.833898722297668,505.180877727946490,11468.381244761471000,28.3582115,-81.2016983
49,SF-WV,Plain,NO,Class 2,26.831810968657422,2516.280481853929400,108584.486543193720000,28.3671970,-81.2023926
50,SF-WY,Plain,NO,Class 2,31.373760714579802,2675.833071770372500,126965.105042957610000,28.2311993,-81.3001633
51,SF-WZ,Plain,NO,Class 2,9.526321592433774,1678.262443886158500,38551.655717833833000,28.2261200,-81.3002319
52,SF-XA,Plain,NO,Class 2,15.444807929692956,2148.537403232771300,62502.920163567964000,28.1901665,-81.5054932
53,SF-XB2,Ridge,NO,Class 2,20.542357439676120,1937.952447795770700,83131.971136329492000,28.4797153,-81.6086426
54,SF-XC,Plain,NO,Class 2,37.659188189332639,6899.182695735053100,152401.327586192080000,28.3295822,-81.4831467
55,SF-XE,Plain,YES,Class 2,555.637431996610760,13895.410997712081000,2248584.910200569800000,28.1661568,-81.4290009
56,SF-XF,Ridge,NO,Class 2,25.715000890769257,3723.524343542807400,104064.916506430310000,28.3510036,-81.6480942
57,SF-XG,Ridge,NO,Class 2,214.634102620786310,34273.325362179305000,868593.396657539420000,28.4258747,-81.6475754
58,SF-XL,Ridge,NO,Class 2,18.190006489707756,2287.302753379247900,73612.344586251260000,28.3634415,-81.4910812
59,SF-XN,Plain,NO,Class 2,9.633564158218034,1127.878066805444200,38985.650984287102000,28.1324043,-81.4868851
60,SF-XO,Plain,NO,Class 2,7.522970042351229,1004.840258909814500,30444.379631463198000,28.1356621,-81.4929581
61,SF-XP,Plain,YES,Class 2,20.378475582756064,2053.768236790631800,82468.764790290777000,28.3150673,-81.4433212
62,SF-XR,Plain,YES,Class 2,21.507488293147691,2457.098794420050100,87037.717129857207000,28.2269859,-81.4397964
63,SF-XU,Plain,NO,Class 2,1.504131183518398,294.753662129906390,6087.002940153542100,28.0534782,-81.3943710
64,SF-XV,Plain,NO,Class 2,5.810403613172467,749.121276779888490,23513.869178703164000,28.0505142,-81.3943329
65,SF-XW,Plain,NO,Class 2,1.815824676931606,315.231356386042140,7348.381755793077000,28.0576019,-81.3997726
66,SF-XX,Plain,NO,Class 2,0.459856279201593,240.895935435578740,1860.972336867934000,28.1143703,-81.4129028
67,SF-XY,Plain,NO,Class 2,2.917261332458314,399.051174781018460,11805.737759078111000,28.1065826,-81.4175797
68,SF-YB,Ridge,YES,Class 2,68.405075569612393,5179.793421610663200,276825.519393205120000,28.2758770,-81.6436768
69,SF-YD,Ridge,NO,Class 2,150.541351502777330,11202.345915937858000,609219.235166195310000,28.2962360,-81.6430206
70,SF-YG,Plain,YES,Class 2,88.423114917534306,4142.671262683552400,357835.650493745170000,28.3656063,-81.2496872
71,SF-YI,Plain,NO,Class 2,21.568248140835657,3004.868870975239600,87283.603509065928000,28.4306240,-81.2366333
72,SF-YL,Ridge,YES,Class 2,182.659439461360620,14131.424180100699000,739196.525696827560000,28.4245377,-81.5494537
73,SF-YM,Ridge,NO,Class 2,44.302135234891551,3719.838691619001100,179284.380502362440000,28.4879665,-81.4658051
74,SF-ZB1,Plain,NO,Class 2,28.311224681947298,2720.201023447341900,114571.461429443410000,28.3173828,-81.3585739
75,SF-ZC6,Plain,YES,Class 2,3.964187779451954,633.242943441441410,16042.498774874733000,28.4596119,-81.4348068
76,SF-ZE1,Ridge,YES,Class 2,198.143720014768750,9700.607973801499600,801859.185899490260000,28.3684769,-81.6222839
77,SF-ZG1,Plain,NO,Class 2,190.536991183810930,7948.154850940916700,771075.846477022050000,28.3772717,-81.3829575
78,SF-ZG2,Plain,NO,Class 2,138.812349928632780,6466.643729300095400,561753.649817253000000,28.3774471,-81.3954544
79,SF-ZI1,Ridge,YES,Class 2,4.338501009168654,586.827831471162540,17557.290672543051000,28.3151360,-81.6040649
80,SF-ZI2,Ridge,YES,Class 2,152.838317172208860,9048.003823098188100,618514.725436747660000,28.3115826,-81.5949402
