delta,ZRPu,ZPPu,ZRPs,ZPPs
5.15,0.707208668,0.932102821,0.000595202,2.78E-06
5.16,0.708434184,0.932812585,0.000592868,2.75E-06
5.17,0.709657086,0.933516682,0.000590539,2.73E-06
5.18,0.710877369,0.934215136,0.000588216,2.70E-06
5.19,0.712095024,0.93490797,0.0005859,2.68E-06
5.2,0.713310043,0.935595208,0.000583589,2.65E-06
5.21,0.714522418,0.936276877,0.000581284,2.62E-06
5.22,0.715732142,0.936952998,0.000578985,2.60E-06
5.23,0.716939208,0.937623598,0.000576692,2.57E-06
5.24,0.718143608,0.938288701,0.000574405,2.54E-06
5.25,0.719345335,0.938948331,0.000572124,2.52E-06
5.26,0.72054438,0.939602513,0.000569849,2.49E-06
5.27,0.721740738,0.940251272,0.00056758,2.46E-06
5.28,0.722934401,0.940894633,0.000565317,2.44E-06
5.29,0.724125361,0.941532621,0.00056306,2.41E-06
5.3,0.725313612,0.94216526,0.000560808,2.39E-06
5.31,0.726499147,0.942792577,0.000558563,2.36E-06
5.32,0.727681958,0.943414596,0.000556324,2.33E-06
5.33,0.72886204,0.944031343,0.000554091,2.31E-06
5.34,0.730039384,0.944642843,0.000551864,2.28E-06
5.35,0.731213986,0.945249121,0.000549643,2.26E-06
5.36,0.732385837,0.945850202,0.000547428,2.23E-06
5.37,0.733554931,0.946446113,0.000545219,2.20E-06
5.38,0.734721262,0.947036879,0.000543016,2.18E-06
5.39,0.735884824,0.947622526,0.000540819,2.15E-06
5.4,0.73704561,0.948203078,0.000538628,2.13E-06
5.41,0.738203613,0.948778563,0.000536444,2.10E-06
5.42,0.739358828,0.949349005,0.000534265,2.08E-06
5.43,0.740511248,0.949914431,0.000532092,2.05E-06
5.44,0.741660868,0.950474866,0.000529926,2.02E-06
5.45,0.742807681,0.951030337,0.000527765,2.00E-06
5.46,0.743951681,0.951580869,0.000525611,1.97E-06
5.47,0.745092863,0.952126489,0.000523462,1.95E-06
5.48,0.746231221,0.952667222,0.00052132,1.92E-06
5.49,0.747366748,0.953203094,0.000519184,1.90E-06
5.5,0.74849944,0.953734132,0.000517054,1.87E-06
5.51,0.749629291,0.954260362,0.00051493,1.84E-06
5.52,0.750756294,0.954781811,0.000512812,1.82E-06
5.53,0.751880446,0.955298503,0.0005107,1.79E-06
5.54,0.75300174,0.955810466,0.000508594,1.77E-06
5.55,0.754120171,0.956317726,0.000506495,1.74E-06
5.56,0.755235735,0.956820308,0.000504401,1.72E-06
5.57,0.756348424,0.957318241,0.000502314,1.69E-06
5.58,0.757458236,0.957811549,0.000500232,1.67E-06
5.59,0.758565164,0.958300259,0.000498157,1.64E-06
5.6,0.759669204,0.958784398,0.000496088,1.61E-06
5.61,0.760770351,0.959263992,0.000494025,1.59E-06
5.62,0.761868599,0.959739067,0.000491968,1.56E-06
5.63,0.762963945,0.96020965,0.000489917,1.54E-06
5.64,0.764056384,0.960675767,0.000487872,1.51E-06
5.65,0.76514591,0.961137445,0.000485833,1.49E-06
5.66,0.76623252,0.961594711,0.0004838,1.46E-06
5.67,0.767316209,0.96204759,0.000481774,1.44E-06
5.68,0.768396973,0.962496109,0.000479753,1.41E-06
5.69,0.769474807,0.962940294,0.000477739,1.39E-06
5.7,0.770549707,0.963380173,0.000475731,1.36E-06
5.71,0.771621669,0.963815771,0.000473729,1.34E-06
