"STATION","DateRange","prank","value"
"LAKE STREETY","2009-2017","P50",103.590344827586
"Lake Van","2009-2017","P50",131.517941176471
"Lake Wailes","2009-2017","P50",102.731831103679
"ROMP 58 SURF AQ MONITOR","2009-2017","P50",122.75
"LAKE WALKER","2009-2017","P50",137.833214285714
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2009-2017","P50",132.557357142857
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2009-2017","P50",133.295571428571
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2009-2017","P50",131.477
"PARKS LAKE","2009-2017","P50",99.7875
"POLECAT LAKE","2009-2017","P50",140.377272727273
"Saddle Blanket","2009-2017","P50",116.358642857143
"POLK COUNTY T1-MW","2009-2017","P50",116.016301587302
"SURVEYORS LAKE","2009-2017","P50",130.338372093023
"POLK COUNTY VF-2MW","2009-2017","P50",125.664835164835
"ALSTON BAY UPLAND SURF","2010-2017","P50",96.6373706896552
"BIG GUM LAKE","2010-2017","P50",93.5885106382979
"Bonnet Lake","2010-2017","P50",88.8782352941176
"BUCK LAKE (HIGHLANDS)","2010-2017","P50",91.3582051282051
"Crooked Lake nr Babson Park","2010-2017","P50",114.7615
"CYPRESS CREEK W-17 UPLAND SURF","2010-2017","P50",61.065
"CYPRESS CREEK W-33 SURF","2010-2017","P50",67.9283333333333
"Cypress Creek BIO-5 Surf","2010-2017","P50",64.0138965517241
"GATOR LAKE","2010-2017","P50",130.489782608696
"GREEN SWAMP 1 UPLAND SURF","2010-2017","P50",99.07
"GREEN SWAMP 4 UPLAND SURF","2010-2017","P50",100.813928571429
"GREEN SWAMP L-11K SHALLOW","2010-2017","P50",90.9828571428571
"GREEN SWAMP 6 UPLAND SURF","2010-2017","P50",96.0566666666667
"GREEN SWAMP 7 WETLAND SURF","2010-2017","P50",105.179090909091
"GREEN SWAMP BAY UPLAND SURF","2010-2017","P50",99.5377527472527
"GREEN SWAMP MARSH UPLAND SURF","2010-2017","P50",91.7185185185185
"Green Swamp 5 Upland Surf","2010-2017","P50",96.97
"LAKE ANNIE (HIGHLANDS)","2010-2017","P50",109.192857142857
"Lake Apthorpe","2010-2017","P50",68.4807317073171
"LAKE GARFIELD","2010-2017","P50",101.677575757576
"Lake Leonore (Patrick)","2010-2017","P50",84.6262068965517
"Lake Placid","2010-2017","P50",90.8723333333333
"LAKE STREETY","2010-2017","P50",103.735
"Lake Van","2010-2017","P50",131.587611111111
"Lake Wailes","2010-2017","P50",102.864722222222
"ROMP 58 SURF AQ MONITOR","2010-2017","P50",122.95
"LAKE WALKER","2010-2017","P50",138.038605990783
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2010-2017","P50",132.697
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2010-2017","P50",133.397
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2010-2017","P50",131.707
"PARKS LAKE","2010-2017","P50",99.875
"POLECAT LAKE","2010-2017","P50",140.413857142857
"Saddle Blanket","2010-2017","P50",116.358642857143
"POLK COUNTY T1-MW","2010-2017","P50",116.022436913479
"SURVEYORS LAKE","2010-2017","P50",130.381568627451
"POLK COUNTY VF-2MW","2010-2017","P50",125.78
"ALSTON BAY UPLAND SURF","2011-2017","P50",96.6292857142857
"BIG GUM LAKE","2011-2017","P50",93.7682233883058
"Bonnet Lake","2011-2017","P50",88.9296517671518
"BUCK LAKE (HIGHLANDS)","2011-2017","P50",91.8429716024341
"Crooked Lake nr Babson Park","2011-2017","P50",114.879113300493
"CYPRESS CREEK W-17 UPLAND SURF","2011-2017","P50",61.0842857142857
"CYPRESS CREEK W-33 SURF","2011-2017","P50",67.7486666666667
"Cypress Creek BIO-5 Surf","2011-2017","P50",63.9571428571429
"GATOR LAKE","2011-2017","P50",130.483
"GREEN SWAMP 1 UPLAND SURF","2011-2017","P50",98.9873333333333
"GREEN SWAMP 4 UPLAND SURF","2011-2017","P50",100.738857142857
"GREEN SWAMP L-11K SHALLOW","2011-2017","P50",90.9694424064564
"GREEN SWAMP 6 UPLAND SURF","2011-2017","P50",95.9753260869565
"GREEN SWAMP 7 WETLAND SURF","2011-2017","P50",105.17178125
"GREEN SWAMP BAY UPLAND SURF","2011-2017","P50",99.5066666666667
"GREEN SWAMP MARSH UPLAND SURF","2011-2017","P50",91.674478021978
"Green Swamp 5 Upland Surf","2011-2017","P50",96.9036243386243
"LAKE ANNIE (HIGHLANDS)","2011-2017","P50",109.228214285714
"Lake Apthorpe","2011-2017","P50",68.5185907859079
"LAKE GARFIELD","2011-2017","P50",101.552825396825
"Lake Leonore (Patrick)","2011-2017","P50",84.7331666666667
"Lake Placid","2011-2017","P50",91.4315384615385
"LAKE STREETY","2011-2017","P50",103.818573667712
"Lake Van","2011-2017","P50",131.607142857143
"Lake Wailes","2011-2017","P50",103.132226190476
"ROMP 58 SURF AQ MONITOR","2011-2017","P50",123.06
"LAKE WALKER","2011-2017","P50",138.245813953488
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2011-2017","P50",132.827
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2011-2017","P50",133.524857142857
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2011-2017","P50",132.132178571429
"PARKS LAKE","2011-2017","P50",99.9426198257081
"POLECAT LAKE","2011-2017","P50",140.4115
"Saddle Blanket","2011-2017","P50",116.404425
